orig_idx,cluster_id,stage,label
0,0,train,1
1,1,valid,0
2,2,valid,0
3,3,test,0
4,4,test,0
5,5,train,0
6,6,valid,0
7,7,valid,1
8,8,train,0
9,9,test,1
10,10,test,0
11,11,train,1
12,12,train,1
13,13,train,1
14,14,train,1
15,8,train,1
16,15,test,0
17,16,train,1
18,8,train,0
19,17,test,0
20,18,train,1
21,19,test,0
22,20,test,0
23,21,test,0
24,22,test,1
25,23,train,1
26,24,test,0
27,25,train,1
28,26,train,1
29,27,train,0
30,28,test,0
31,29,test,0
32,30,train,0
33,31,train,1
34,32,test,0
35,33,test,0
36,34,valid,0
37,35,train,1
38,36,valid,0
39,37,train,1
40,38,train,1
41,39,train,1
42,40,train,0
43,41,valid,0
44,42,train,0
45,43,valid,0
46,44,valid,0
47,45,train,0
48,46,train,1
49,47,train,1
50,8,train,0
51,48,train,0
52,49,valid,0
53,50,train,0
54,51,train,0
55,52,train,0
56,53,valid,0
57,54,train,0
58,55,valid,0
59,56,test,0
60,57,test,0
61,58,valid,1
62,59,test,1
63,60,train,0
64,61,train,0
65,62,train,1
66,63,train,0
67,64,train,0
68,65,train,0
69,66,train,0
70,67,valid,1
71,68,train,0
72,69,train,1
73,70,train,1
74,71,train,0
75,72,valid,0
76,73,train,1
77,74,train,0
78,8,train,1
79,75,train,1
80,76,test,0
81,77,train,0
82,8,train,0
83,78,valid,0
84,79,train,0
85,80,valid,1
86,8,train,0
87,81,train,0
88,82,train,0
89,8,train,0
90,83,test,1
91,84,valid,1
92,8,train,0
93,85,train,1
94,86,train,1
95,87,train,1
96,8,train,0
97,40,train,0
98,88,train,0
99,89,train,0
100,8,train,0
101,90,train,1
102,91,train,1
103,8,train,0
104,8,train,0
105,92,train,0
106,93,train,0
107,94,train,1
108,95,test,1
109,96,train,0
110,8,train,0
111,8,train,0
112,97,train,1
113,98,train,0
114,8,train,0
115,99,test,0
116,100,train,1
117,101,train,0
118,8,train,1
119,102,valid,0
120,8,train,1
121,103,test,0
122,104,valid,0
123,8,train,0
124,105,train,0
125,106,train,0
126,107,valid,0
127,108,train,0
128,109,train,1
129,110,train,0
130,8,train,1
131,111,test,1
132,112,test,1
133,8,train,1
134,113,train,1
135,114,test,0
136,95,test,1
137,115,test,1
138,8,train,1
139,8,train,1
140,116,train,1
141,117,train,0
142,8,train,0
143,118,train,0
144,119,train,0
145,8,train,0
146,120,train,0
147,121,train,0
148,8,train,1
149,122,valid,0
150,123,train,0
151,8,train,1
152,8,train,0
153,124,train,1
154,125,train,0
155,8,train,0
156,126,valid,0
157,127,test,0
158,128,valid,1
159,8,train,1
160,8,train,0
161,129,train,0
162,130,test,1
163,131,valid,1
164,132,train,1
165,133,train,0
166,134,train,0
167,135,train,1
168,136,train,1
169,137,train,0
170,138,train,1
171,8,train,0
172,139,train,0
173,140,train,0
174,141,train,1
175,8,train,1
176,142,train,0
177,8,train,0
178,8,train,1
179,143,valid,0
180,8,train,0
181,8,train,1
182,8,train,0
183,144,test,0
184,145,train,0
185,146,train,0
186,147,test,0
187,148,train,0
188,149,train,0
189,8,train,0
190,150,valid,1
191,151,test,0
192,8,train,0
193,152,train,0
194,153,train,0
195,154,train,1
196,155,train,1
197,8,train,0
198,156,train,0
199,157,valid,1
200,158,train,0
201,8,train,0
202,159,valid,0
203,8,train,1
204,160,test,1
205,161,train,1
206,8,train,1
207,162,train,1
