dataset,split,condition,level,model,model_kind,n,threshold,auc,acc,mcc
SaProt10k,train,clean,0.0,Struct-Align,struct_align,1000,0.44747474747474747,0.8958854219948849,0.818,0.6276214833759591
SaProt10k,valid,clean,0.0,Struct-Align,struct_align,714,0.44747474747474747,0.833674608336746,0.7605042016806722,0.5151336496605528
SaProt10k,test,clean,0.0,Struct-Align,struct_align,208,0.44747474747474747,0.8564956079519186,0.7740384615384616,0.5544432839955439
SaProt10k,test,struct_view_shuffle,1.0,Struct-Align,struct_align,208,0.44747474747474747,0.8571428571428572,0.7788461538461539,0.5618869400638729
SaProt10k,test,chain_only,1.0,Struct-Align,struct_align,208,0.44747474747474747,0.8610263522884882,0.7740384615384616,0.5562033237255081
SaProt10k,train,clean,0.0,Struct-Align w/o Align Loss,no_align,1000,0.5700000000000001,0.879693094629156,0.799,0.5855450228515753
SaProt10k,valid,clean,0.0,Struct-Align w/o Align Loss,no_align,714,0.5700000000000001,0.8282061782820619,0.742296918767507,0.46934110372205273
SaProt10k,test,clean,0.0,Struct-Align w/o Align Loss,no_align,208,0.5700000000000001,0.8236708275543227,0.7115384615384616,0.43601936467849683
SaProt10k,test,struct_view_shuffle,1.0,Struct-Align w/o Align Loss,no_align,208,0.5700000000000001,0.820342117429496,0.7115384615384616,0.43601936467849683
SaProt10k,test,chain_only,1.0,Struct-Align w/o Align Loss,no_align,208,0.5700000000000001,0.8218215441516412,0.7019230769230769,0.418446115492745
