dataset,split,model,model_kind,noise_mode,noise_level,seed,n,threshold,auc,acc,mcc
SaProt10k,test,Struct-Align,struct_align,coord_noise,0.0,42,208,0.44747474747474747,0.8564956079519186,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,coord_noise,0.5,42,208,0.44747474747474747,0.8570503929727231,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,coord_noise,1.0,42,208,0.44747474747474747,0.8568654646324549,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,coord_noise,2.0,42,208,0.44747474747474747,0.8572353213129912,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,coord_noise,4.0,42,208,0.44747474747474747,0.8566805362921868,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,edge_dropout,0.0,42,208,0.44747474747474747,0.8564956079519186,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,edge_dropout,0.1,42,208,0.44747474747474747,0.8564031437817846,0.7692307692307693,0.5439547886674719
SaProt10k,test,Struct-Align,struct_align,edge_dropout,0.2,42,208,0.44747474747474747,0.8566805362921868,0.7692307692307693,0.5439547886674719
SaProt10k,test,Struct-Align,struct_align,edge_dropout,0.3,42,208,0.44747474747474747,0.8564956079519186,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,edge_dropout,0.5,42,208,0.44747474747474747,0.8562182154415164,0.7788461538461539,0.5633384782413684
SaProt10k,test,Struct-Align w/o Align Loss,no_align,coord_noise,0.0,42,208,0.5700000000000001,0.8236708275543227,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,coord_noise,0.5,42,208,0.5700000000000001,0.8241331484049931,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,coord_noise,1.0,42,208,0.5700000000000001,0.8245030050855293,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,coord_noise,2.0,42,208,0.5700000000000001,0.8245954692556634,0.7067307692307693,0.4272312997065097
SaProt10k,test,Struct-Align w/o Align Loss,no_align,coord_noise,4.0,42,208,0.5700000000000001,0.8243180767452613,0.7067307692307693,0.4272312997065097
SaProt10k,test,Struct-Align w/o Align Loss,no_align,edge_dropout,0.0,42,208,0.5700000000000001,0.8236708275543227,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,edge_dropout,0.1,42,208,0.5700000000000001,0.8249653259361998,0.7067307692307693,0.4272312997065097
SaProt10k,test,Struct-Align w/o Align Loss,no_align,edge_dropout,0.2,42,208,0.5700000000000001,0.825242718446602,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,edge_dropout,0.3,42,208,0.5700000000000001,0.8245954692556634,0.7067307692307693,0.4272312997065097
SaProt10k,test,Struct-Align w/o Align Loss,no_align,edge_dropout,0.5,42,208,0.5700000000000001,0.8211742949607027,0.7067307692307693,0.4272312997065097
