dataset,split,model,model_kind,noise_mode,noise_level,seed,n,threshold,auc,acc,mcc
SaProt10k,test,Struct-Align,struct_align,coord_permute,0.1,42,208,0.44747474747474747,0.8573277854831253,0.7788461538461539,0.5633384782413684
SaProt10k,test,Struct-Align,struct_align,coord_permute,0.25,42,208,0.44747474747474747,0.8568654646324549,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,coord_permute,0.5,42,208,0.44747474747474747,0.8568654646324549,0.7740384615384616,0.5529046912236125
SaProt10k,test,Struct-Align,struct_align,random_rewire,0.1,42,208,0.44747474747474747,0.856957928802589,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,random_rewire,0.25,42,208,0.44747474747474747,0.856957928802589,0.7836538461538461,0.5722656635762239
SaProt10k,test,Struct-Align,struct_align,random_rewire,0.5,42,208,0.44747474747474747,0.8570503929727231,0.7884615384615384,0.5812270829619839
SaProt10k,test,Struct-Align,struct_align,block_dropout,0.1,42,208,0.44747474747474747,0.8565880721220527,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,block_dropout,0.25,42,208,0.44747474747474747,0.8566805362921868,0.7836538461538461,0.5722656635762239
SaProt10k,test,Struct-Align,struct_align,block_dropout,0.5,42,208,0.44747474747474747,0.8573277854831253,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,segment_translate,10.0,42,208,0.44747474747474747,0.8568654646324549,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,segment_translate,20.0,42,208,0.44747474747474747,0.8566805362921868,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,segment_translate,40.0,42,208,0.44747474747474747,0.8573277854831254,0.7740384615384616,0.5544432839955439
SaProt10k,test,Struct-Align,struct_align,chain_only,1.0,42,208,0.44747474747474747,0.8610263522884882,0.7740384615384616,0.5562033237255081
SaProt10k,test,Struct-Align w/o Align Loss,no_align,coord_permute,0.1,42,208,0.5700000000000001,0.8224687933425797,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,coord_permute,0.25,42,208,0.5700000000000001,0.8220064724919095,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,coord_permute,0.5,42,208,0.5700000000000001,0.8202496532593619,0.7163461538461539,0.44481268536284485
SaProt10k,test,Struct-Align w/o Align Loss,no_align,random_rewire,0.1,42,208,0.5700000000000001,0.8235783633841887,0.7067307692307693,0.4272312997065097
SaProt10k,test,Struct-Align w/o Align Loss,no_align,random_rewire,0.25,42,208,0.5700000000000001,0.8220064724919094,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,random_rewire,0.5,42,208,0.5700000000000001,0.8208044382801665,0.7163461538461539,0.44481268536284485
SaProt10k,test,Struct-Align w/o Align Loss,no_align,block_dropout,0.1,42,208,0.5700000000000001,0.8244105409153952,0.7067307692307693,0.4272312997065097
SaProt10k,test,Struct-Align w/o Align Loss,no_align,block_dropout,0.25,42,208,0.5700000000000001,0.8260748959778086,0.7163461538461539,0.4469964488032522
SaProt10k,test,Struct-Align w/o Align Loss,no_align,block_dropout,0.5,42,208,0.5700000000000001,0.8234858992140546,0.7163461538461539,0.4493861500433947
SaProt10k,test,Struct-Align w/o Align Loss,no_align,segment_translate,10.0,42,208,0.5700000000000001,0.8239482200647249,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,segment_translate,20.0,42,208,0.5700000000000001,0.8242256125751272,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,segment_translate,40.0,42,208,0.5700000000000001,0.8259824318076745,0.7115384615384616,0.43601936467849683
SaProt10k,test,Struct-Align w/o Align Loss,no_align,chain_only,1.0,42,208,0.5700000000000001,0.8218215441516412,0.7019230769230769,0.418446115492745
